priority,seed,method,n_params,issue,detail,suggested_max_evals,action
high,-1,GPU-DE,3,short_vs_peers,T=525 evals vs peer_max=1920; stop=other — large-B cells use approx_hold/soft,5000,Optional re-run with larger max_iter / disabled early stop for fixed-budget fairness at high B
high,-1,GPU-DE,5,short_vs_peers,T=775 evals vs peer_max=1625; stop=other — large-B cells use approx_hold/soft,5000,Optional re-run with larger max_iter / disabled early stop for fixed-budget fairness at high B
high,-1,GPU-CMAES,8,short_vs_peers,T=960 evals vs peer_max=2840; stop=other — large-B cells use approx_hold/soft,5000,Optional re-run with larger max_iter / disabled early stop for fixed-budget fairness at high B
high,-1,GPU-CMAES,10,short_vs_peers,T=450 evals vs peer_max=4950; stop=other — large-B cells use approx_hold/soft,5000,Optional re-run with larger max_iter / disabled early stop for fixed-budget fairness at high B
high,-1,GPU-PSO,10,short_vs_peers,T=1576 evals vs peer_max=4950; stop=other — large-B cells use approx_hold/soft,5000,Optional re-run with larger max_iter / disabled early stop for fixed-budget fairness at high B
high,-1,GPU-CMAES,20,short_vs_peers,T=2550 evals vs peer_max=12800; stop=other — large-B cells use approx_hold/soft,12800,Optional re-run with larger max_iter / disabled early stop for fixed-budget fairness at high B
high,-1,GPU-PSO,20,short_vs_peers,T=3465 evals vs peer_max=12800; stop=other — large-B cells use approx_hold/soft,12800,Optional re-run with larger max_iter / disabled early stop for fixed-budget fairness at high B
medium,-1,GPU-CMAES,2,short_vs_peers,T=610 evals vs peer_max=2920; stop=StopB — large-B cells use approx_hold/soft,5000,Optional re-run with larger max_iter / disabled early stop for fixed-budget fairness at high B
medium,-1,GPU-CMAES,2,high_approx_fraction,100% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
medium,-1,GPU-DE,2,short_vs_peers,T=1080 evals vs peer_max=2920; stop=StopB — large-B cells use approx_hold/soft,5000,Optional re-run with larger max_iter / disabled early stop for fixed-budget fairness at high B
medium,-1,GPU-DE,2,high_approx_fraction,100% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
medium,-1,GPU-PSO,2,high_approx_fraction,75% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
medium,-1,GPU-CMAES,3,high_approx_fraction,100% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
medium,-1,GPU-DE,3,high_approx_fraction,100% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
medium,-1,GPU-PSO,3,high_approx_fraction,100% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
medium,-1,GPU-CMAES,5,high_approx_fraction,100% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
medium,-1,GPU-DE,5,high_approx_fraction,100% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
medium,-1,GPU-PSO,5,high_approx_fraction,100% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
medium,-1,GPU-CMAES,8,high_approx_fraction,100% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
medium,-1,GPU-DE,8,high_approx_fraction,75% of key-budget cells are approximated,15000,Extend history at least to B=5000–15000 if affordable
